S&P/ASX 200 Index (1 August 2018),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
MIN,Mineral Resources,Materials,"3,106,460,000",0.17,,,
MMS,Mcmillan Shakespeare,Industrials,"1,352,080,000",0.07,,,
MND,Monadelphous Group,Industrials,"1,387,160,000",0.08,,,
MPL,Medibank Private Limited,Financials,"8,564,950,000",0.47,,,
MQG,Macquarie Group Limited,Financials,"41,805,800,000",2.3,,,
MTS,Metcash Limited,Consumer Staples,"2,565,940,000",0.14,,,
MYO,Myob Group Limited,Information Technology,"1,859,230,000",0.1,,,
MYX,Mayne Pharma Limited,Health Care,"1,555,170,000",0.09,,,
NAB,National Aust. Bank,Financials,"77,453,700,000",4.26,,,
NAN,Nanosonics Limited,Health Care,"945,930,000",0.05,,,
NCM,Newcrest Mining,Materials,"16,606,300,000",0.91,,,
NEC,Nine Entertainment,Consumer Discretionary,"1,951,880,000",0.11,,,
NHF,Nib Holdings Limited,Financials,"2,565,350,000",0.14,,,
NSR,National Storage Stapled Security FP,Real Estate,"956,073,000",0.05,,,
NST,Northern Star,Materials,"4,412,330,000",0.24,,,
NUF,Nufarm Limited,Materials,"2,343,090,000",0.13,,,
NVT,Navitas Limited,Consumer Discretionary,"1,540,230,000",0.08,,,
NWS,News Corp Class B Voting Common Stock-Cdi,Consumer Discretionary,"1,072,610,000",0.06,,,
NXT,NEXTDC Limited,Information Technology,"2,467,640,000",0.14,,,
OML,Ooh!Media Limited,Consumer Discretionary,"1,147,710,000",0.06,,,
ORA,Orora Limited,Materials,"4,380,270,000",0.24,,,
ORE,Orocobre Limited,Materials,"1,204,480,000",0.07,,,
ORG,Origin Energy,Energy,"17,189,000,000",0.94,,,
ORI,Orica Limited,Materials,"6,666,600,000",0.37,,,
OSH,Oil Search Limited 10 Toea,Energy,"13,682,200,000",0.75,,,
OZL,OZ Minerals,Materials,"3,059,210,000",0.17,,,
PDL,Pendal Group Limited,Financials,"2,954,280,000",0.16,,,
PGH,Pact Group Holdings Limited,Materials,"1,798,740,000",0.1,,,
PLS,Pilbara Min Limited,Materials,"1,535,170,000",0.08,,,
PMV,Premier Investments,Consumer Discretionary,"2,746,190,000",0.15,,,
PPT,Perpetual Limited,Financials,"2,031,580,000",0.11,,,
PRY,Primary Health Care,Health Care,"1,831,940,000",0.1,,,
PTM,Platinum Asset,Financials,"3,226,730,000",0.18,,,
QAN,Qantas Airways,Industrials,"11,313,600,000",0.62,,,
QBE,QBE Insurance Group,Financials,"13,627,600,000",0.75,,,
QUB,QUBE Holdings Limited,Industrials,"4,156,920,000",0.23,,,
REA,REA Group,Information Technology,"11,432,800,000",0.63,,,
RHC,Ramsay Health Care,Health Care,"11,365,000,000",0.62,,,
RIO,RIO Tinto Limited,Materials,"33,488,000,000",1.84,,,
RMD,Resmed Inc Cdi 10:1 Foreign Exempt NYSE,Health Care,"20,109,800,000",1.11,,,
RRL,Regis Resources,Materials,"2,249,820,000",0.12,,,
RSG,Resolute Mining,Materials,"959,770,000",0.05,,,
RWC,Reliance Worldwide,Industrials,"4,701,060,000",0.26,,,
S32,SOUTH32 Limited,Materials,"18,278,100,000",1,,,
SAR,Saracen Mineral,Materials,"1,533,770,000",0.08,,,
SBM,ST Barbara Limited,Materials,"2,144,530,000",0.12,,,
SCG,Scentre Group Stapled Securities,Real Estate,"22,597,200,000",1.24,,,
SCP,Sca Property Group Units FP Stapled Securities,Real Estate,"1,797,970,000",0.1,,,
SDA,Speedcast Int Limited,Telecommunication Services,"1,484,270,000",0.08,,,
SDF,Steadfast Group Limited,Financials,"2,315,660,000",0.13,,,
SEK,Seek Limited,Industrials,"7,502,060,000",0.41,,,
SFR,Sandfire Resources,Materials,"1,175,060,000",0.06,,,
SGM,Sims Metal MGMT Limited,Materials,"3,475,960,000",0.19,,,
SGP,Stockland Units/ Stapled Securities,Real Estate,"10,103,000,000",0.56,,,
SGR,The Star Ent Group,Consumer Discretionary,"4,549,920,000",0.25,,,
SHL,Sonic Healthcare,Health Care,"11,076,300,000",0.61,,,
SIG,Sigma Health Limited,Health Care,"519,151,000",0.03,,,
SIQ,Smartgrp Corporation,Industrials,"1,592,650,000",0.09,,,
SKC,Skycity Ent Group Limited Foreign Exempt NZX,Consumer Discretionary,"2,402,120,000",0.13,,,
SKI,Spark Infrastructure Stapled $0.65 Loan Note and Unit US Prohib,Utilities,"3,868,630,000",0.21,,,
SOL,Soul Pattinson (W.H),Energy,"5,223,610,000",0.29,,,
SPK,Spark New Zealand Foreign Exempt NZX,Telecommunication Services,"6,533,990,000",0.36,,,
SRX,Sirtex Medical,Health Care,"1,770,790,000",0.1,,,
STO,Santos Limited,Energy,"13,289,000,000",0.73,,,
SUL,Super Ret Rep Limited,Consumer Discretionary,"1,822,500,000",0.1,,,
SUN,Suncorp Group Limited,Financials,"19,438,600,000",1.07,,,
SVW,Seven Group Holdings,Industrials,"6,070,190,000",0.33,,,
SWM,Seven West Media Limited,Consumer Discretionary,"1,251,670,000",0.07,,,
SXL,STHN Cross Media,Consumer Discretionary,"968,957,000",0.05,,,
SYD,SYD Airport FP Stapled Securities US Prohibited,Industrials,"15,930,200,000",0.88,,,
SYR,Syrah Resources,Materials,"895,277,000",0.05,,,
TAH,Tabcorp Holdings Limited,Consumer Discretionary,"9,400,580,000",0.52,,,
TCL,Transurban Group Ordinary Shares/Units FP Triple Stapled,Industrials,"26,029,300,000",1.43,,,
TGR,Tassal Group Limited,Consumer Staples,"729,238,000",0.04,,,
TLS,Telstra Corporation,Telecommunication Services,"33,777,000,000",1.86,,,
TME,Trade Me Group Foreign Exempt NZX,Consumer Discretionary,"1,766,990,000",0.1,,,
TNE,Technology One,Information Technology,"1,564,460,000",0.09,,,
